cell_id,amplified_quantity_ng,percent_cdna_longer_than_400bp,reporter_status,post_patch,number_genes,rna_amp_pass_fail,transgenic_line,normalized_marker_sum,normalized_marker_sum_pass_fail,class,normalized_marker_sum_bin,total_reads,percent_reads_aligned_to_introns,Malat1,recording_duration,retrieval_duration,extraction_duration,morpho_call,endpipetter,cell_health,cell_in_slice,total_cells_in_slice,slice_name,dataset,percent_reads_Malat1,Ramp total count,Subthreshold Long Square total count,Suprathreshold Long Square total count,Ramp additional count,Subthreshold Long Square additional count,Suprathreshold Long Square additional count
639706236,3.784308033,33.4,tdt+,nucleus-,3064,Fail,Gad2-IRES-Cre,0.264825455,Fail,inhibitory,0.3,678597,16.64529333,71130.04619,1.853833334,0.45,1.333333333,,6386.221056,,1,4,Gad2-IRES-Cre;Ai14-350672.04.01,early,7.113004619,,,,,,
639708371,3.64262608,47.9,tdt+,nucleus+,3174,Fail,Gad2-IRES-Cre,0.181711451,Fail,inhibitory,0.2,1290974,27.74991515,70051.52448,2.2205,0.35,2.2,,929.416384,,2,4,Gad2-IRES-Cre;Ai14-350672.04.01,early,7.005152448,,,,,,
639715810,3.447394237,38.7,tdt+,nucleus-,2212,Fail,Gad2-IRES-Cre,0.401283008,Pass,inhibitory,0.5,759924,22.61124147,34239.41198,1.553833334,0.516666667,1.766666667,,4.7665195,,3,4,Gad2-IRES-Cre;Ai14-350672.04.01,early,3.423941198,,,,,,
639719034,4.673653116,43.6,tdt+,nucleus-,3560,Fail,Gad2-IRES-Cre,0.285907104,Fail,excitatory,0.3,1258822,6.784346514,8027.785441,2.1705,0.566666667,2.083333333,,15.889067,,4,4,Gad2-IRES-Cre;Ai14-350672.04.01,early,0.802778544,,,,,,
639671955,5.488300054,44.2,tdt+,nucleus-,4934,Pass,Gad2-IRES-Cre,0.503403524,Pass,inhibitory,0.6,1423323,2.283368647,520.9851392,5.187166667,0.333333333,2.316666667,failed,,,1,1,Gad2-IRES-Cre;Ai14-350672.06.02,early,0.052098514,,,,,,
639824809,6.248476893,53.3,tdt+,nucleus+,4319,Pass,Gad2-IRES-Cre,0.78098217,Pass,inhibitory,0.8,1419424,29.52016098,29067.75906,4.003833334,0.516666667,1.916666667,insufficient axon,1444.797696,,1,4,Gad2-IRES-Cre;Ai14-350674.03.02,early,2.906775906,,,,,,
639833073,5.656203913,32.4,tdt+,nucleus-,3334,Fail,Gad2-IRES-Cre,0.18311478,Fail,inhibitory,0.2,1251943,12.49904494,17006.68131,3.8205,0.766666667,5.5,failed,16.084781,,2,4,Gad2-IRES-Cre;Ai14-350674.03.02,early,1.700668131,,,,,,
639841063,9.704651125,60.4,tdt+,nucleus+,5547,Pass,Gad2-IRES-Cre,0.554872056,Pass,inhibitory,0.6,1521095,29.73478782,63844.48778,3.6705,0.816666667,2.183333333,high quality,1423.698944,,3,4,Gad2-IRES-Cre;Ai14-350674.03.02,early,6.384448778,,,,,,
639850374,9.71313701,69.1,tdt+,nucleus-,5018,Pass,Gad2-IRES-Cre,0.624190667,Pass,inhibitory,0.7,1346381,2.97292629,2296.174535,3.287166667,0.616666667,6.666666667,failed,17.9307,,4,4,Gad2-IRES-Cre;Ai14-350674.03.02,early,0.229617453,,,,,,
639862877,13.83254469,66.2,tdt+,nucleus+,6527,Pass,Oxtr-T2A-Cre,0.80452267,Pass,inhibitory,0.9,1562945,33.83904237,57309.09196,3.303833334,0.933333333,3.016666667,high quality,1580.828544,,1,3,Oxtr-T2A-Cre;Ai14-351470.04.01,early,5.730909196,,,,,,
639879167,4.659097657,36.9,tdt+,nucleus-,2182,Fail,Oxtr-T2A-Cre,0.321101235,Fail,inhibitory,0.4,1069265,3.523453527,66.23657054,3.387166667,0.583333333,2.5,failed,98.445376,,2,3,Oxtr-T2A-Cre;Ai14-351470.04.01,early,0.006623657,,,,,,
639881631,12.99736749,61.8,tdt+,nucleus+,5841,Pass,Oxtr-T2A-Cre,0.784677271,Pass,inhibitory,0.8,1553773,40.37465454,45520.23061,1.887166667,0.666666667,2.066666667,high quality,1484.702976,,3,3,Oxtr-T2A-Cre;Ai14-351470.04.01,early,4.552023061,,,,,,
639891465,14.45462818,42.8,tdt+,nucleus+,5492,Pass,Nr5a1-Cre,0.624065898,Pass,excitatory,0.7,1571704,42.63845008,46211.11942,3.3705,0.466666667,1.7,high quality,1427.934208,,1,3,Nr5a1-Cre;Ai14-350880.04.02,early,4.621111942,,,,,,
639893517,8.737589042,63.7,tdt+,nucleus+,5457,Pass,Nr5a1-Cre,0.681981575,Pass,excitatory,0.7,1590699,48.89042636,41174.44157,3.153833334,0.65,3.683333333,medium quality,1680.378496,,2,3,Nr5a1-Cre;Ai14-350880.04.02,early,4.117444157,,,,,,
639903241,2.571622226,45.4,tdt+,nucleus-,2816,Fail,Nr5a1-Cre,0.318912355,Fail,excitatory,0.4,1401583,22.91715632,71208.17694,2.653833334,0.55,4.05,failed,8.870391,,3,3,Nr5a1-Cre;Ai14-350880.04.02,early,7.120817694,,,,,,
639910703,12.21132737,43.5,tdt+,nucleus+,6338,Pass,Nr5a1-Cre,0.644019173,Pass,excitatory,0.7,1429568,27.05145181,48196.85027,5.003833334,0.466666667,2.366666667,high quality,1131.667456,,1,2,Nr5a1-Cre;Ai14-350880.03.02,early,4.819685027,,,,,,
639914225,7.573062214,44.6,tdt+,nucleus+,4306,Pass,Nr5a1-Cre,0.447573193,Pass,excitatory,0.5,1375783,33.81992827,27804.2438,3.003833334,0.583333333,2.166666667,high quality,1493.056512,,2,2,Nr5a1-Cre;Ai14-350880.03.02,early,2.78042438,,,,,,
639797308,12.80395709,74.5,tdt+,nucleus+,6857,Pass,Gad2-IRES-Cre,0.755226006,Pass,inhibitory,0.8,1550602,35.18967357,31268.09902,4.787166667,0.766666667,2.333333333,high quality,1145.568896,,1,2,Gad2-IRES-Cre;Ai14-350674.04.02,early,3.126809902,,,,,,
639798922,5.574020624,43,tdt+,nucleus-,3278,Fail,Gad2-IRES-Cre,0.339399092,Fail,inhibitory,0.4,1396254,10.22411707,9670.347456,3.387166667,0.6,4.35,failed,130.803,,2,2,Gad2-IRES-Cre;Ai14-350674.04.02,early,0.967034746,,,,,,
639827216,18.01533584,50.1,tdt+,nucleus+,6562,Pass,Chrna2-Cre_OE25,0.735923821,Pass,excitatory,0.8,1658241,27.56810593,30881.03917,2.8205,0.366666667,2.45,high quality,1093.4016,,1,1,Chrna2-Cre_OE25;Ai14-351070.04.02,early,3.088103917,,,,,,
639893239,10.47785951,73.1,tdt+,nucleus+,6399,Pass,Oxtr-T2A-Cre,0.781605175,Pass,inhibitory,0.8,1554280,27.52919596,37505.21996,4.387166667,0.366666667,2.633333333,high quality,1574.909824,,1,1,Oxtr-T2A-Cre;Ai14-351470.05.01,early,3.750521996,,,,,,
639796648,27.01827484,69.8,tdt+,nucleus+,9495,Pass,Gad2-IRES-Cre,0.785282192,Pass,inhibitory,0.8,1373113,14.32146148,10487.51972,1.703833334,0.416666667,1.983333333,failed,1589.156864,,1,3,Gad2-IRES-Cre;Ai14-350674.04.01,early,1.048751972,,,,,,
639797005,3.65131207,49.7,tdt+,nucleus-,2427,Fail,Gad2-IRES-Cre,0.39003374,Fail,inhibitory,0.4,1544123,6.769945525,1823.101959,2.1705,0.483333333,2.3,failed,1741.451008,,2,3,Gad2-IRES-Cre;Ai14-350674.04.01,early,0.182310196,,,,,,
639798164,8.692346878,50.1,tdt+,nucleus+,3885,Pass,Gad2-IRES-Cre,0.341586881,Fail,inhibitory,0.4,1560609,48.26882748,15137.78006,1.8705,0.5,3.116666667,failed,1733.533312,,3,3,Gad2-IRES-Cre;Ai14-350674.04.01,early,1.513778006,,,,,,
639809582,19.22148707,48.8,tdt+,nucleus+,6843,Pass,Chrna2-Cre_OE25,0.876450903,Pass,inhibitory,0.9,1475532,49.08715911,28629.54558,1.987166667,0.466666667,3.166666667,high quality,1707.47008,,1,3,Chrna2-Cre_OE25;Ai14-351070.03.01,early,2.862954558,,,,,,
639818314,14.1953359,52.2,tdt+,nucleus+,6243,Pass,Chrna2-Cre_OE25,0.77684987,Pass,excitatory,0.8,1447555,39.52533163,39163.30572,2.737166667,0.266666667,2.366666667,failed,634.989888,,2,3,Chrna2-Cre_OE25;Ai14-351070.03.01,early,3.916330572,,,,,,
639827246,5.503162136,58.6,tdt+,nucleus-,3538,Pass,Chrna2-Cre_OE25,0.146595429,Fail,excitatory,0.2,1521246,3.702236854,3080.851064,2.0205,0.533333333,8.333333333,failed,12.50611,,3,3,Chrna2-Cre_OE25;Ai14-351070.03.01,early,0.308085106,,,,,,
639808649,11.0863545,53.4,tdt+,nucleus+,5457,Pass,Gad2-IRES-Cre,1.276709786,Pass,inhibitory,,1571206,18.16333206,27674.95379,7.203833334,0.45,3.166666667,failed,6080.025088,,1,1,Gad2-IRES-Cre;Ai14-350674.06.02,early,2.767495379,,,,,,
639881942,7.80057485,56.9,tdt+,nucleus+,5743,Pass,Oxtr-T2A-Cre,0.652325529,Pass,inhibitory,0.7,1604370,35.87718795,37668.79434,6.587166667,0.6,2.6,high quality,,,1,1,Oxtr-T2A-Cre;Ai14-351470.06.01,early,3.766879434,,,,,,
639809296,5.902954125,35.5,tdt+,nucleus-,4377,Fail,Gad2-IRES-Cre,0.298695641,Fail,excitatory,0.3,1279024,7.539544801,22810.65213,6.5205,0.633333333,2.333333333,failed,,,1,3,Gad2-IRES-Cre;Ai14-350674.03.01,early,2.281065213,,,,,,
639818525,10.41368047,66.5,tdt+,nucleus+,6382,Pass,Gad2-IRES-Cre,0.653211247,Pass,inhibitory,0.7,1538517,20.50270857,24023.7298,5.037166667,1.516666667,2.083333333,high quality,1406.47232,,2,3,Gad2-IRES-Cre;Ai14-350674.03.01,early,2.40237298,,,,,,
639829058,9.608674713,33.7,tdt+,nucleus-,4543,Pass,Gad2-IRES-Cre,0.433945461,Pass,inhibitory,0.5,1285358,11.33616367,14053.36552,8.337166667,1.95,1.233333333,failed,3.4629015,,3,3,Gad2-IRES-Cre;Ai14-350674.03.01,early,1.405336552,,,,,,
639851844,11.65804248,45.2,tdt+,nucleus+,2500,Pass,Chrna2-Cre_OE25,0.278230627,Fail,inhibitory,0.3,1223492,10.09518516,9889.670555,4.653833334,0.683333333,1.866666667,failed,,,1,1,Chrna2-Cre_OE25;Ai14-351070.04.01,early,0.988967055,,,,,,
639901957,13.45215901,27.1,tdt+,nucleus+,3840,Pass,Nr5a1-Cre,0.168185127,Fail,excitatory,0.2,1276491,3.661735133,1920.563075,2.2205,1.183333333,0.7,failed,562.978112,,1,2,Nr5a1-Cre;Ai14-350880.03.01,early,0.192056308,,,,,,
639910566,11.62331905,73.5,tdt+,nucleus+,6561,Pass,Nr5a1-Cre,0.897854177,Pass,excitatory,0.9,1513284,24.56355649,17977.35436,2.103833334,0.883333333,1.3,failed,247.890992,,2,2,Nr5a1-Cre;Ai14-350880.03.01,early,1.797735436,,,,,,
639965232,23.60142417,21.2,tdt+,nucleus-,7462,Fail,Oxtr-T2A-Cre,0.684131073,Pass,inhibitory,0.7,1044764,38.54501398,18063.9924,2.837166667,0.35,0.916666667,failed,18.175802,,1,4,Oxtr-T2A-Cre;Ai14-351471.03.02,early,1.80639924,,,,,,
639972026,8.725989752,56.5,tdt+,nucleus+,5299,Pass,Oxtr-T2A-Cre,1.0680556,Pass,inhibitory,1.1,1541729,17.78568202,38693.16589,4.087166667,0.316666667,2.2,failed,1258.473344,,1,3,Oxtr-T2A-Cre;Ai14-351471.04.02,early,3.869316589,,,,,,
639996724,15.39369827,52,tdt+,nucleus+,6406,Pass,Oxtr-T2A-Cre,1.002255999,Pass,excitatory,1.1,1424990,23.27905927,28437.22132,2.3205,0.4,2.05,medium quality,8990.245888,,2,3,Oxtr-T2A-Cre;Ai14-351471.04.02,early,2.843722132,,,,,,
640006296,10.38537927,61.5,tdt+,nucleus+,6268,Pass,Oxtr-T2A-Cre,1.067110839,Pass,excitatory,1.1,1516458,16.37135085,32831.40829,3.303833334,0.733333333,2.7,high quality,2360.80384,,3,3,Oxtr-T2A-Cre;Ai14-351471.04.02,early,3.283140829,,,,,,
640041937,4.185312558,49,tdt+,nucleus+,4163,Pass,Nos1-CreERT2;Sst-IRES-FlpO,0.620722805,Pass,inhibitory,0.7,1393000,20.62811719,34147.85591,2.437166667,1.016666667,1.8,high quality,1121.580416,,1,1,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-350938.05.02,early,3.414785591,,,,,,
640091516,6.699889064,30.3,tdt+,nucleus-,3471,Fail,Nr5a1-Cre,0.283880236,Fail,excitatory,0.3,794487,12.21526068,13150.45215,3.6705,0.35,1.716666667,failed,182.898368,,1,2,Nr5a1-Cre;Ai14-350881.04.02,early,1.315045215,,,,,,
640106072,4.156101219,53.9,tdt+,nucleus-,2898,Pass,Nr5a1-Cre,0.091436119,Fail,inhibitory,0.1,1437524,6.883208088,11791.01102,5.003833334,0.8,6.85,failed,144.163632,,2,2,Nr5a1-Cre;Ai14-350881.04.02,early,1.179101102,,,,,,
640109830,7.742509358,57.1,tdt+,nucleus+,4922,Pass,Gad2-IRES-Cre,0.776144048,Pass,inhibitory,0.8,1570624,41.53505613,28743.68705,2.7705,0.333333333,2,insufficient axon,1076.609664,,1,3,Gad2-IRES-Cre;Ai14-350675.05.01,early,2.874368705,,,,,,
640111844,11.37179904,49.1,tdt+,nucleus+,5639,Pass,Gad2-IRES-Cre,0.837725741,Pass,inhibitory,0.9,1526486,29.78121809,34112.9245,4.453833334,0.933333333,1.65,high quality,982.505344,,2,3,Gad2-IRES-Cre;Ai14-350675.05.01,early,3.41129245,,,,,,
640120921,10.35585634,59.8,tdt+,nucleus+,6136,Pass,Gad2-IRES-Cre,0.918994576,Pass,inhibitory,1,1383194,24.82521674,33883.8362,4.737166667,0.416666667,2.733333333,failed,1078.366464,,3,3,Gad2-IRES-Cre;Ai14-350675.05.01,early,3.38838362,,,,,,
639860972,11.33060741,26.3,tdt+,nucleus-,3615,Fail,Oxtr-T2A-Cre,0.306530434,Fail,excitatory,0.4,1041441,13.18320812,33733.74459,6.003833334,0.916666667,3.05,failed,25.120596,,1,2,Oxtr-T2A-Cre;Ai14-351470.04.02,early,3.373374459,,,,,,
639861972,6.409989643,46.4,tdt+,nucleus-,4313,Pass,Oxtr-T2A-Cre,0.489679368,Pass,inhibitory,0.5,1250150,12.93169403,27161.99126,3.937166667,0.883333333,5.833333333,failed,28.813786,,2,2,Oxtr-T2A-Cre;Ai14-351470.04.02,early,2.716199126,,,,,,
639881666,11.91053485,23.9,tdt+,nucleus-,4076,Fail,Nr5a1-Cre,0.226200708,Fail,excitatory,0.3,1403073,8.753082286,4676.520621,2.437166667,0.433333333,4.966666667,failed,11.382541,,1,1,Nr5a1-Cre;Ai14-350880.05.02,early,0.467652062,,,,,,
639858266,15.22014416,58.4,tdt+,nucleus+,6466,Pass,Oxtr-T2A-Cre,0.848525189,Pass,inhibitory,0.9,1544787,37.5289917,37805.45614,1.537166667,0.316666667,2.216666667,failed,1597.85408,,1,3,Oxtr-T2A-Cre;Ai14-351470.03.01,early,3.780545614,,,,,,
639860893,7.401630657,42.4,tdt+,nucleus-,3969,Fail,Oxtr-T2A-Cre,0.687466162,Pass,inhibitory,0.7,1602588,7.174341899,16712.53839,1.437166667,0.583333333,2.166666667,failed,28.196546,,2,3,Oxtr-T2A-Cre;Ai14-351470.03.01,early,1.671253839,,,,,,
639861479,12.12526536,38.5,tdt+,nucleus-,4159,Pass,Oxtr-T2A-Cre,0.053767833,Fail,inhibitory,0.1,1511833,4.496045507,16986.84252,1.253833334,0.233333333,3.25,failed,10689.01786,,3,3,Oxtr-T2A-Cre;Ai14-351470.03.01,early,1.698684252,,,,,,
639863046,27.91702904,13.4,tdt+,nucleus-,3151,Fail,Nr5a1-Cre,0.226758376,Fail,excitatory,0.3,1051605,10.26774343,5277.941926,1.537166667,0.383333333,2.25,failed,3.50448325,,1,2,Nr5a1-Cre;Ai14-350880.04.01,early,0.527794193,,,,,,
639881020,17.84459128,28,tdt+,nucleus+,6331,Pass,Nr5a1-Cre,0.729684349,Pass,excitatory,0.8,1519353,23.2344317,73646.55194,1.853833334,0.5,2.616666667,medium quality,2590.230016,,2,2,Nr5a1-Cre;Ai14-350880.04.01,early,7.364655194,,,,,,
639891826,6.233032679,42.8,tdt+,nucleus-,3315,Fail,Oxtr-T2A-Cre,0.411606237,Pass,inhibitory,0.5,988724,24.15648048,13799.97564,2.187166667,0.433333333,3.233333333,,4.351917,,1,1,Oxtr-T2A-Cre;Ai14-351470.05.02,early,1.379997564,,,,,,
639979263,25.959965,41.3,tdt+,nucleus+,6846,Pass,Oxtr-T2A-Cre,0.733632037,Pass,inhibitory,0.8,1632822,22.16054623,77436.01766,3.253833334,0.666666667,3.083333333,medium quality,1525.675904,,2,4,Oxtr-T2A-Cre;Ai14-351471.03.02,early,7.743601766,,,,,,
639997289,6.30029361,27.5,tdt+,nucleus-,1896,Fail,Oxtr-T2A-Cre,0.18171665,Fail,inhibitory,0.2,1405943,4.681523696,532.1254087,2.853833334,0.4,4.733333333,failed,7.600105,,3,4,Oxtr-T2A-Cre;Ai14-351471.03.02,early,0.053212541,,,,,,
640006130,5.641571103,34.6,tdt+,nucleus-,2489,Fail,Oxtr-T2A-Cre,0.325989509,Fail,inhibitory,0.4,1337687,3.859883528,4650.920413,2.7205,0.5,3.05,failed,,,4,4,Oxtr-T2A-Cre;Ai14-351471.03.02,early,0.465092041,,,,,,
640027168,47.66349723,18.9,tdt+,nucleus-,6367,Fail,Nos1-CreERT2;Sst-IRES-FlpO,0.567330914,Pass,inhibitory,0.6,1259530,5.880318112,1166.952631,2.137166667,0.366666667,2.816666667,,44.216928,,1,1,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-350938.04.02,early,0.116695263,,,,,,
640106757,12.17192968,53.5,tdt+,nucleus+,5527,Pass,Nr5a1-Cre,0.679349942,Pass,excitatory,0.7,1680793,47.03410516,64195.65555,2.987166667,0.583333333,1.583333333,high quality,1355.12192,,1,3,Nr5a1-Cre;Ai14-350881.04.01,early,6.419565555,,,,,,
640109906,15.27194341,53.3,tdt+,nucleus-,6027,Pass,Nr5a1-Cre,0.817205314,Pass,excitatory,0.9,1413337,13.60606416,16161.4332,2.953833334,0.583333333,1.5,failed,7.9161355,,2,3,Nr5a1-Cre;Ai14-350881.04.01,early,1.61614332,,,,,,
640111874,28.06603625,55.3,tdt+,nucleus+,8634,Pass,Nr5a1-Cre,0.711611026,Pass,excitatory,0.8,1526534,40.04295414,37746.67241,3.737166667,0.5,2.116666667,high quality,1866.508416,,3,3,Nr5a1-Cre;Ai14-350881.04.01,early,3.774667241,,,,,,
639962984,21.35685697,67.3,tdt+,nucleus+,7499,Pass,Oxtr-T2A-Cre,1.009156867,Pass,inhibitory,1.1,1645457,44.51714499,27116.01459,1.987166667,0.25,2.183333333,high quality,2025.794304,,1,3,Oxtr-T2A-Cre;Ai14-351471.03.01,early,2.711601459,,,,,,
639966737,14.62775159,20,tdt+,nucleus-,3525,Fail,Oxtr-T2A-Cre,0.277258335,Fail,excitatory,0.3,891610,23.37745644,27180.84609,0.937166667,0.433333333,1.666666667,failed,5.0515865,,2,3,Oxtr-T2A-Cre;Ai14-351471.03.01,early,2.718084609,,,,,,
639986522,8.739101367,69.5,tdt+,nucleus+,3924,Pass,Oxtr-T2A-Cre,0.40107977,Pass,excitatory,0.5,1622386,52.41444552,47265.82148,3.5705,0.4,2.1,medium quality,,,3,3,Oxtr-T2A-Cre;Ai14-351471.03.01,early,4.726582148,,,,,,
640002660,16.94447153,59.2,tdt+,nucleus+,6608,Pass,Oxtr-T2A-Cre,0.668131948,Pass,excitatory,0.7,1616510,51.45801315,56560.31961,1.853833334,0.533333333,2.1,medium quality,2112.430336,,1,3,Oxtr-T2A-Cre;Ai14-351471.05.01,early,5.656031961,,,,,,
640012241,13.01280828,69,tdt+,nucleus+,5596,Pass,Oxtr-T2A-Cre,0.723170327,Pass,excitatory,0.8,1554931,41.071344,68214.75793,2.753833334,0.483333333,2.483333333,high quality,1600.958208,,2,3,Oxtr-T2A-Cre;Ai14-351471.05.01,early,6.821475793,,,,,,
640026162,11.02961352,47.6,tdt+,nucleus+,5054,Pass,Oxtr-T2A-Cre,0.600677213,Pass,excitatory,0.7,1685385,29.92033659,65287.99149,1.337166667,0.366666667,2,high quality,2548.327936,,3,3,Oxtr-T2A-Cre;Ai14-351471.05.01,early,6.528799149,,,,,,
640088868,12.66057194,58.9,tdt+,nucleus+,5953,Pass,Nr5a1-Cre,0.744704481,Pass,excitatory,0.8,1457945,36.99211165,56688.13537,1.887166667,0.383333333,1.983333333,failed,1816.7456,,1,2,Nr5a1-Cre;Ai14-350881.05.01,early,5.668813537,,,,,,
640105307,7.743017757,42,tdt+,nucleus-,3379,Fail,Nr5a1-Cre,0.153187745,Fail,inhibitory,0.2,1503921,9.011883903,7716.593546,2.537166667,0.65,4.35,failed,250.748688,,2,2,Nr5a1-Cre;Ai14-350881.05.01,early,0.771659355,,,,,,
640106803,12.31972218,69.4,tdt+,nucleus+,6228,Pass,Gad2-IRES-Cre,0.846755611,Pass,inhibitory,0.9,1541302,45.64726926,29729.14597,1.587166667,0.316666667,2.066666667,failed,986.531712,,1,3,Gad2-IRES-Cre;Ai14-350675.04.01,early,2.972914597,,,,,,
640109875,16.95156954,59.8,tdt+,nucleus+,6532,Pass,Gad2-IRES-Cre,0.906997735,Pass,inhibitory,1,1324951,36.50054208,22535.05843,1.1205,0.516666667,2.85,high quality,845.3328,,2,3,Gad2-IRES-Cre;Ai14-350675.04.01,early,2.253505843,,,,,,
640110937,6.79431829,45.7,tdt+,nucleus-,3502,Fail,Gad2-IRES-Cre,0.461723096,Pass,inhibitory,0.5,1445643,38.23580175,25767.73156,1.3205,0.266666667,2.283333333,failed,14.906513,,3,3,Gad2-IRES-Cre;Ai14-350675.04.01,early,2.576773156,,,,,,
640006232,21.08057859,68.9,tdt+,nucleus+,7643,Pass,Oxtr-T2A-Cre,0.905789117,Pass,inhibitory,1,1570014,17.87798068,16280.19695,4.037166667,0.433333333,4.45,failed,,,1,1,Oxtr-T2A-Cre;Ai14-351471.06.02,early,1.628019695,,,,,,
640061596,24.08349396,67.3,tdt+,nucleus+,8543,Pass,Nos1-CreERT2;Sst-IRES-FlpO,0.824982409,Pass,inhibitory,0.9,933386,26.92527905,33770.50249,3.6205,0.483333333,1.8,high quality,2677.297664,,1,1,Nos1-CreERT2;Sst-IRES-FlpO;Ai65-350938.05.01,early,3.377050249,,,,,,
